啊|/ā/|ah
成为|/chéngwéi/|become
乘坐|/chéngzuò/|ride
吃惊|/chījīng/|Surprised
迟|/chí/|Late
重|/chóng/|Heavy
重新|/chóngxīn/|again
出差|/chūchāi/|On business trip
出口|/chūkǒu/|exit
出现|/chūxiàn/|Appear
出行|/chūxíng/|travel
出租|/chūzū/|rent
厨房|/chúfáng/|kitchen
厨师|/chúshī/|chef
窗|/chuāng/|window
窗户|/chuānghu/|window
吹|/chuī/|blow
词语|/cíyǔ/|words
此|/cǐ/|this
此次|/cǐcì/|This time
此外|/cǐwài/|also
从此|/cóngcǐ/|From then on
从来|/cónglái/|Never
从中|/cóngzhōng/|from
粗|/cū/|thick
粗心|/cūxīn/|careless
村|/cūn/|village
存|/cún/|live
错过|/cuòguò/|miss
错误|/cuòwù/|mistake
答应|/dāying/|promise
答|/dá/|answer
答案|/dá’àn/|Answer
达到|/dádào/|achieve
打招呼|/dǎ zhāohu/|greet
打败|/dǎbài/|defeat
打工|/dǎgōng/|work to earn a living
打扰|/dǎrǎo/|disturb
打印|/dǎyìn/|Print
打印机|/dǎyìnjī/|printer
打折|/dǎzhé/|Discount
打针|/dǎzhēn/|inject
大巴|/dàbā/|bus
大大|/dàdà/|Big Big
大夫|/dàifu/|doctor
大量|/dàliàng/|large amount
大赛|/dàsài/|Competition
大厅|/dàtīng/|hall
大约|/dàyuē/|About
大自然|/dàzìrán/|Nature
待|/dāi/|treat
戴|/dài/|Wear
袋子|/dàizi/|bag
单位|/dānwèi/|unit
当|/dāng/|when
当时|/dāngshí/|then
刀|/dāo/|knife
导游|/dǎoyóu/|tour guide
倒|/dào/|fall
道|/dào/|road
到底|/dàodǐ/|in the end
到来|/dàolái/|arrival
道路|/dàolù/|the way
道歉|/dàoqiàn/|Apologize
得意|/déyì/|proud
登机|/dēngjī/|Boarding
等|/děng/|wait
等到|/děngdào/|wait until
低|/dī/|Low
低价|/dījià/|low price
低温|/dīwēn/|low temperature
低于|/dīyú/|Below
底|/dǐ/|end
底下|/dǐxia/|under
地球|/dìqiú/|Earth
地址|/dìzhǐ/|address
点名|/diǎnmíng/|Roll call
点头|/diǎntóu/|nod
电动车|/diàndòngchē/|electric vehicles
电视剧|/diànshìjù/|TV drama
掉|/diào/|Lose
调查|/diàochá/|investigation
订|/dìng/|order
定|/dìng/|Certainly
东部|/dōngbù/|east
动车|/dòngchē/|bullet train
动作|/dòngzuò/|action
读者|/dúzhě/|reader
堵车|/dǔchē/|Traffic jam
度假|/dùjià/|vacation
肚子|/dùzi/|abdomen
短信|/duǎnxìn/|Short message
队|/duì/|Team
对方|/duìfāng/|other side
对面|/duìmiàn/|opposite
对于|/duìyú/|for
队员|/duìyuán/|Team members
队长|/duìzhǎng/|team leader
顿|/dùn/|Dun
多么|/duōme/|how
多数|/duōshù/|most
多样|/duōyàng/|Diverse
而|/ér/|and
儿童|/értóng/|child
发出|/fāchū/|issue
发送|/fāsòng/|send
法|/fǎ/|Law
法律|/fǎlǜ/|law
翻译|/fānyì/|translate
烦|/fán/|bother
烦恼|/fánnǎo/|trouble
反对|/fǎnduì/|be opposed to
方面|/fāngmiàn/|aspect
方式|/fāngshì/|Way
房东|/fángdōng/|landlord
房租|/fángzū/|rent
放弃|/fàngqì/|give up
放松|/fàngsōng/|Relax
费|/fèi/|fee
费用|/fèiyong/|cost
分数|/fēnshù/|Fraction
分为|/fēnwéi/|Divided into
份|/fèn/|share
丰富|/fēngfù/|Rich
风景|/fēngjǐng/|landscape
否则|/fǒuzé/|otherwise
幅|/fú/|frame
符合|/fúhé/|conform to
付|/fù/|pay
父母|/fùmǔ/|parents
父女|/fùnǚ/|Father and daughter
父亲|/fùqīn/|Father
复印|/fùyìn/|copy
复杂|/fùzá/|complex
负责|/fùzé/|Responsible
负责人|/fùzérén/|person in charge
父子|/fùzǐ/|Father and son
改|/gǎi/|change
改变|/gǎibiàn/|Change
干|/gān/|Dry
干杯|/gānbēi/|cheers
赶|/gǎn/|rush
敢|/gǎn/|dare
感|/gǎn/|feel
感动|/gǎndòng/|move
赶紧|/gǎnjǐn/|Hurry
感觉|/gǎnjué/|Feel
赶快|/gǎnkuài/|hurry up
感情|/gǎnqíng/|emotion
感人|/gǎnrén/|Touching
赶上|/gǎnshàng/|catch up
感受|/gǎnshòu/|Feeling
感谢|/gǎnxiè/|grateful
干活儿|/gànhuór/|work
钢琴|/gāngqín/|piano
高价|/gāojià/|High price
高考|/gāokǎo/|College Entrance Examination
高速|/gāosù/|high speed
高温|/gāowēn/|high temperature
高于|/gāoyú/|Higher than
胳膊|/gēbo/|arm
歌声|/gēshēng/|singing
歌手|/gēshǒu/|singer
各|/gè/|each
各地|/gèdì/|various places
各个|/gègè/|each
各位|/gèwèi/|Dear friends
各种|/gèzhǒng/|Various
更加|/gèngjiā/|more
工厂|/gōngchǎng/|factory
功夫|/gōngfu/|effort
公共|/gōnggòng/|public
功课|/gōngkè/|homework
公里|/gōnglǐ/|kilometer
公路|/gōnglù/|highway
工人|/gōngrén/|Worker
工资|/gōngzī/|salary
共|/gòng/|common
共同|/gòngtóng/|common
够|/gòu/|enough
购买|/gòumǎi/|Buy
购物|/gòuwù/|Shopping
估计|/gūjì/|estimate
姑娘|/gūniang/|girl
鼓励|/gǔlì/|encourage
顾客|/gùkè/|customer
故意|/gùyì/|deliberately
挂|/guà/|hang
关键|/guānjiàn/|key
观看|/guānkàn/|Watch
观众|/guānzhòng/|audience
管|/guǎn/|Tube
管理|/guǎnlǐ/|manage
光|/guāng/|Light
广播|/guǎngbō/|broadcast
广告|/guǎnggào/|advertise
逛|/guàng/|visit
规定|/guīdìng/|Regulation
国籍|/guójí/|Country of Citizenship
国际|/guójì/|internationality
果汁|/guǒzhī/|juice
过程|/guòchéng/|process
海洋|/hǎiyáng/|ocean
害羞|/hàixiū/|shy
寒假|/hánjià/|winter vacation
寒冷|/hánlěng/|cold
喊|/hǎn/|call
汗|/hàn/|sweat
航班|/hángbān/|flight
好处|/hǎochù/|benefit
好好|/hǎohǎo/|well
好笑|/hǎoxiào/|funny
合格|/hégé/|qualified
盒子|/hézi/|Box
红包|/hóngbāo/|Red envelope
厚|/hòu/|thick
后悔|/hòuhuǐ/|regret
忽然|/hūrán/|suddenly
互联网|/hùliánwǎng/|internet
护士|/hùshi/|Nurse
互相|/hùxiāng/|each other
话剧|/huàjù/|stage play
怀疑|/huáiyí/|Suspect
坏处|/huàichù/|harm
环保|/huánbǎo/|Environmental friendly
换乘|/huànchéng/|Transfer
回复|/huífù/|reply
回信|/huíxìn/|reply
回忆|/huíyì/|remember
会员|/huìyuán/|member
活|/huó/|live
活动|/huódòng/|Activity
活泼|/huópō/|lively
火|/huǒ/|fire
货|/huò/|goods
获得|/huòdé/|get
获奖|/huòjiǎng/|Award
获取|/huòqǔ/|Get
基本|/jīběn/|Basic
基本上|/jīběnshàng/|basically
基础|/jīchǔ/|Base
激动|/jīdòng/|Excited
积极|/jījí/|positive
积累|/jīlěi/|accumulation
及时|/jíshí/|timely
即使|/jíshǐ/|even though
既|/jì/|now that
寄|/jì/|send
计划|/jìhuà/|plan
既然|/jìrán/|now that
技术|/jìshù/|technology
继续|/jìxù/|continue
记者|/jìzhě/|reporter
加班|/jiābān/|work overtime
家具|/jiājù/|furniture
加快|/jiākuài/|accelerate
加强|/jiāqiáng/|strengthen
加入|/jiārù/|join in
加上|/jiāshàng/|Plus
家庭|/jiātíng/|family
家乡|/jiāxiāng/|hometown
加油|/jiāyóu/|come on
加油站|/jiāyóuzhàn/|Gas station
家长|/jiāzhǎng/|Parents
假|/jiǎ/|Fake
价格|/jiàgé/|price
价钱|/jiàqián/|Price
假日|/jiàrì/|holiday
减|/jiǎn/|reduce
减轻|/jiǎnqīng/|Reduce
减少|/jiǎnshǎo/|reduce
健身|/jiànshēn/|fitness
健身房|/jiànshēnfáng/|Gym
建议|/jiànyì/|suggestion
江|/jiāng/|River
将|/jiāng/|Will
将来|/jiānglái/|future
将要|/jiāngyào/|About to
奖|/jiǎng/|award
奖金|/jiǎngjīn/|bonus
奖学金|/jiǎngxuéjīn/|scholarship
降|/jiàng/|drop
降低|/jiàngdī/|reduce
降价|/jiàngjià/|Price reduction
降落|/jiàngluò/|landing
降温|/jiàngwēn/|Cooling
交|/jiāo/|pay
骄傲|/jiāo’ào/|pride
交警|/jiāojǐng/|traffic police
交流|/jiāoliú/|comminicate
郊区|/jiāoqū/|suburbs
交通|/jiāotōng/|transportation
教练|/jiàoliàn/|coach
教师|/jiàoshī/|teacher
教授|/jiàoshòu/|professor
教学|/jiàoxué/|teaching
教育|/jiàoyù/|educate
叫作|/jiàozuò/|Called
街道|/jiēdào/|street
接受|/jiēshòu/|accept
接着|/jiēzhe/|then
结果|/jiéguǒ/|result
节假日|/jiéjiàrì/|Holidays
节约|/jiéyuē/|save
结账|/jiézhàng/|Bill, please
解释|/jiěshì/|explain
今后|/jīnhòu/|from now on
仅|/jǐn/|only
尽管|/jǐnguǎn/|although
仅仅|/jǐnjǐn/|only
紧张|/jǐnzhāng/|nervous
进入|/jìnrù/|Enter
进行|/jìnxíng/|conduct
禁止|/jìnzhǐ/|prohibit
精彩|/jīngcǎi/|Wonderful
经济|/jīngjì/|economy
京剧|/jīngjù/|Peking Opera
经历|/jīnglì/|experience
经验|/jīngyàn/|experience
警察|/jǐngchá/|police
景点|/jǐngdiǎn/|attractions
景区|/jǐngqū/|Scenic Area
景色|/jǐngsè/|view
竟然|/jìngrán/|it turns out
竞争|/jìngzhēng/|compete
镜子|/jìngzi/|Mirror
究竟|/jiūjìng/|after all
就是|/jiùshì/|that is
举|/jǔ/|Lift
举办|/jǔbàn/|hold
举例|/jǔlì/|For example
举行|/jǔxíng/|Hold
聚|/jù/|Gather
聚餐|/jùcān/|dinner party
聚会|/jùhuì/|reunion
拒绝|/jùjué/|reject
距离|/jùlí/|distance
剧院|/jùyuàn/|theater
开玩笑|/kāi wánxiào/|joke
看法|/kànfǎ/|view
烤|/kǎo/|bake
考虑|/kǎolǜ/|consider
考生|/kǎoshēng/|Candidates
棵|/kē/|tree
科技|/kējì/|science and technology
科学|/kēxué/|science
咳|/ké/|cough
咳嗽|/késou/|cough
可惜|/kěxī/|pity
克|/kè/|gram
课程|/kèchéng/|course
客气|/kèqi/|polite
课堂|/kètáng/|classroom
客厅|/kètīng/|living room
肯定|/kěndìng/|affim
空|/kōng/|null
空气|/kōngqì/|Air
恐怕|/kǒngpà/|I am afraid
空|/kòng/|null
口语|/kǒuyǔ/|Spoken language
苦|/kǔ/|bitter
快餐|/kuàicān/|fast food
快递|/kuàidì/|express delivery
快速|/kuàisù/|fast
困|/kùn/|Sleepy
困难|/kùnnan/|difficulty
拉|/lā/|pull
垃圾|/lājī/|Rubbish
辣|/là/|hot
来不及|/láibují/|Too late
来得及|/láidejí/|It's not too late
懒|/lǎn/|lazy
浪费|/làngfèi/|waste
浪漫|/làngmàn/|romantic
老虎|/lǎohǔ/|tiger
老家|/lǎojiā/|hometown
老年|/lǎonián/|elderly
老是|/lǎoshì/|always
冷静|/lěngjìng/|calm
理发|/lǐfà/|Haircut
理解|/lǐjiě/|understand
礼貌|/lǐmào/|polite
理想|/lǐxiǎng/|ideal
厉害|/lìhai/|sharp
力气|/lìqi/|strength
例如|/lìrú/|For example
例子|/lìzi/|example
俩|/liǎ/|both
连|/lián/|even
联系|/liánxì/|connect
凉|/liáng/|cold
量|/liáng/|quantity
两|/liǎng/|two
亮|/liàng/|Bright
列|/liè/|List
零下|/líng xià/|below zero
零花钱|/línghuāqián/|Pocket money
零钱|/língqián/|small change
零食|/língshí/|snack
另|/lìng/|Other
另外|/lìngwài/|in addition
留|/liú/|Keep
流|/liú/|flow
流利|/liúlì/|fluent
留下|/liúxia/|Leave
流行|/liúxíng/|Popularity
路过|/lùguò/|Passing by
旅馆|/lǚguǎn/|hostel
旅客|/lǚkè/|Passengers
旅行|/lǚxíng/|travel
律师|/lǜshī/|lawyer
乱|/luàn/|chaos
落|/luò/|fall
麻烦|/máfan/|trouble
馒头|/mántou/|Steamed bun
满|/mǎn/|Full
毛巾|/máojīn/|towel
毛衣|/máoyī/|sweater
帽子|/màozi/|hat
美|/měi/|beautiful
美好|/měihǎo/|good
美景|/měijǐng/|Beautiful scenery
美丽|/měilì/|beauty
美食|/měishí/|gourmet food
梦|/mèng/|Dream
梦想|/mèngxiǎng/|dream
密码|/mìmǎ/|password
免费|/miǎnfèi/|free
面对|/miànduì/|face
面试|/miànshì/|interview
秒|/miǎo/|Second
民族|/mínzú/|nationality
末|/mò/|end
母女|/mǔnǚ/|Mother and daughter
母亲|/mǔqīn/|Mother
母子|/mǔzǐ/|Mother and child
目标|/mùbiāo/|Target
目的|/mùdì/|Purpose
目的地|/mùdìdì/|destination
目前|/mùqián/|at present
耐心|/nàixīn/|patience
南部|/nánbù/|South
难道|/nándào/|Could it be...?
男士|/nánshì/|Men
难受|/nánshòu/|It's uncomfortable
难忘|/nánwàng/|memorable
男性|/nánxìng/|male
内|/nèi/|Inside
内容|/nèiróng/|content
内心|/nèixīn/|heart
能否|/néng fǒu/|Can
能够|/nénggòu/|can
能力|/nénglì/|ability
嗯|/ǹg/|Um
年底|/niándǐ/|End of year
年龄|/niánlíng/|age
农村|/nóngcūn/|rural areas
弄|/nòng/|alley
女性|/nǚxìng/|female
暖和|/nuǎnhuo/|warm
偶尔|/ǒu’ěr/|Occasionally
拍|/pāi/|shoot
排|/pái/|Row
牌|/pái/|Card
排队|/páiduì/|queue
排球|/páiqiú/|volleyball
牌子|/páizi/|brand
判断|/pànduàn/|judge
陪|/péi/|accompany
批评|/pīpíng/|criticize
皮肤|/pífū/|skin
脾气|/píqi/|temper
皮鞋|/píxié/|leather shoes
篇|/piān/|Chapter
片|/piàn/|piece
乒乓球|/pīngpāngqiú/|table tennis
平常|/píngcháng/|usually
破|/pò/|break
葡萄|/pútao/|Grape
葡萄酒|/pútaojiǔ/|wine
普遍|/pǔbiàn/|universal
普通|/pǔtōng/|ordinary
普通话|/pǔtōnghuà/|mandarin
期|/qī/|Expect
期末|/qīmò/|Final Exam
期中|/qīzhōng/|Midterm
其次|/qícì/|Secondly
其中|/qízhōng/|in
起到|/qǐdào/|Play a role
气|/qì/|gas
气候|/qìhòu/|climate
汽水|/qìshuǐ/|soft drinks
气温|/qìwēn/|Temperature
千克|/qiānkè/|kilogram
千万|/qiānwàn/|Tens of millions
签证|/qiānzhèng/|visa
前方|/qiánfāng/|Ahead
前后|/qiánhòu/|front and back
强|/qiáng/|powerful
敲|/qiāo/|knock
桥|/qiáo/|bridge
巧|/qiǎo/|skillful
巧克力|/qiǎokèlì/|chocolate
亲戚|/qīnqi/|relative
琴|/qín/|Qin
轻|/qīng/|light
青年|/qīngnián/|youth
轻松|/qīngsōng/|easy
情况|/qíngkuàng/|Condition
庆祝|/qìngzhù/|celebrate
球队|/qiúduì/|team
球迷|/qiúmí/|fan
区|/qū/|district
区别|/qūbié/|the difference
取|/qǔ/|Pick
取得|/qǔdé/|Obtain
取消|/qǔxiāo/|Cancel
全|/quán/|Complete
全部|/quánbù/|all
全都|/quándōu/|all
全球|/quánqiú/|worldwide
全身|/quánshēn/|whole body
缺|/quē/|lack
缺点|/quēdiǎn/|shortcoming
缺少|/quēshǎo/|Lack
却|/què/|but
确实|/quèshí/|really
然而|/rán’ér/|However
热闹|/rènao/|lively
人生|/rénshēng/|Life
人数|/rénshù/|Number of people
人员|/rényuán/|personnel
任何|/rènhé/|any
任务|/rènwu/|Task
扔|/rēng/|Throw
仍|/réng/|still
仍然|/réngrán/|still
日常|/rìcháng/|daily
日记|/rìjì/|journal
日期|/rìqī/|date
日子|/rìzi/|day
入|/rù/|enter
入口|/rùkǒu/|Entrance
入学|/rùxué/|Admission
入住|/rùzhù/|Check-in
散步|/sànbù/|walk
扫码|/sǎomǎ/|Scan the code
森林|/sēnlín/|forest
商量|/shāngliang/|discuss
商品|/shāngpǐn/|commodity
伤心|/shāngxīn/|sad
上门|/shàngmén/|Door-to-door service
稍|/shāo/|a little
稍微|/shāowēi/|a little
少见|/shǎojiàn/|Rare
少量|/shǎoliàng/|small amount
少数|/shǎoshù/|few
少年|/shàonián/|juvenile
社会|/shèhuì/|society
摄氏度|/shèshìdù/|Celsius
身|/shēn/|body
深|/shēn/|deep
身份证|/shēnfènzhèng/|ID card
申请|/shēnqǐng/|Apply
甚至|/shènzhì/|even
生|/shēng/|born
生|/shēng/|born
生命|/shēngmìng/|life
生意|/shēngyi/|Business
省|/shěng/|Province
剩|/shèng/|Remaining
失败|/shībài/|fail
师傅|/shīfu/|master
失去|/shīqù/|lose
师生|/shīshēng/|Teachers and students
失望|/shīwàng/|disappointment
十分|/shífēn/|very
实际|/shíjì/|actual
时间表|/shíjiānbiǎo/|schedule
实际上|/shíjìshàng/|In fact
食品|/shípǐn/|food
食堂|/shítáng/|canteen
食物|/shíwù/|food
实在|/shízài/|really
十字路口|/shízì lùkǒu/|crossroads
使|/shǐ/|make
使馆|/shǐguǎn/|embassy
使用|/shǐyòng/|use
市场|/shìchǎng/|market
是否|/shìfǒu/|whether
适合|/shìhé/|Suitable
世纪|/shìjì/|century
视频|/shìpín/|video
市区|/shìqū/|Urban area
试题|/shìtí/|Test Questions
适应|/shìyìng/|adapt
收费|/shōufèi/|TOLL
收入|/shōurù/|income
收拾|/shōushi/|tidy
收听|/shōutīng/|Listen
首|/shǒu/|head
首都|/shǒudū/|capital
首先|/shǒuxiān/|first
受不了|/shòubuliǎo/|I can't stand it
售票员|/shòupiàoyuán/|conductor
受伤|/shòushāng/|Injuried
输|/shū/|lose
熟|/shú/shóu/|Cooked
熟悉|/shúxi/|familiar
暑假|/shǔjià/|summer vacation
数|/shù/|number
数量|/shùliàng/|quantity
树林|/shùlín/|forest
数字|/shùzì/|number
帅|/shuài/|handsome
顺便|/shùnbiàn/|By the way
顺利|/shùnlì/|smoothly
顺序|/shùnxù/|order
说法|/shuōfǎ/|statement
说明|/shuōmíng/|illustrate
说明书|/shuōmíngshū/|manual
硕士|/shuòshì/|master
死|/sǐ/|die
速度|/sùdù/|speed
塑料|/sùliào/|plastic
酸|/suān/|acid
酸奶|/suānnǎi/|yogurt
算|/suàn/|Calculate
随便|/suíbiàn/|casual
随着|/suízhe/|along with
孙女|/sūnnǚ/|granddaughter
孙子|/sūnzi/|grandson
所有|/suǒyǒu/|all
台|/tái/|tower
抬|/tái/|lift
抬头|/táitóu/|look up
态度|/tàidù/|manner
弹|/tán/|bomb
谈|/tán/|talk
汤|/tāng/|Soup
躺|/tǎng/|lie
趟|/tàng/|trip
讨论|/tǎolùn/|discuss
讨厌|/tǎoyàn/|Hate
特点|/tèdiǎn/|Features
提|/tí/|carry
提出|/tíchū/|propose
提到|/tídào/|Mention
提供|/tígōng/|supply
提前|/tíqián/|in advance
提醒|/tíxǐng/|remind
体检|/tǐjiǎn/|physical examination
体温|/tǐwēn/|body temperature
体重|/tǐzhòng/|weight
填写|/tiánxiě/|fill in
条件|/tiáojiàn/|condition
听力|/tīnglì/|hearing
听众|/tīngzhòng/|audience
停|/tíng/|stop
停车|/tíngchē/|parking
停车场|/tíngchēchǎng/|PARKING LOT
停止|/tíngzhǐ/|stop
通|/tōng/|Pass
通过|/tōngguò/|pass
通知|/tōngzhī/|notify
童年|/tóngnián/|childhood
同时|/tóngshí/|at the same time
同样|/tóngyàng/|same
桶|/tǒng/|bucket
痛|/tòng/|pain
头痛|/tóutòng/|Headache
图|/tú/|picture
图片|/túpiàn/|picture
土|/tǔ/|earth
推|/tuī/|push
推迟|/tuīchí/|put off
推出|/tuīchū/|roll out
脱|/tuō/|strip
袜子|/wàzi/|sock
外出|/wàichū/|Going out
外套|/wàitào/|coat
完全|/wánquán/|completely
晚安|/wǎn’ān/|Good night
晚餐|/wǎncān/|dinner
网购|/wǎnggòu/|Online shopping
往往|/wǎngwǎng/|often
网页|/wǎngyè/|Web page
网友|/wǎngyǒu/|Netizens
网址|/wǎngzhǐ/|Website
危险|/wēixiǎn/|Danger
为|/wéi/|for
味|/wèi/|taste
味道|/wèidào/|smell
卫生|/wèishēng/|health
温度|/wēndù/|temperature
闻|/wén/|smell
文件|/wénjiàn/|document
文章|/wénzhāng/|article
文字|/wénzì/|Word
污染|/wūrǎn/|pollute
无|/wú/|none
无法|/wúfǎ/|Unable
无聊|/wúliáo/|boring
无论|/wúlùn/|regardless
午餐|/wǔcān/|Lunch
误会|/wùhuì/|Misunderstand
吸|/xī/|suck
西部|/xībù/|west
西红柿|/xīhóngshì/|tomato
吸引|/xīyǐn/|attract
细|/xì/|thin
细心|/xìxīn/|careful
下降|/xiàjiàng/|decline
鲜|/xiān/|fresh
鲜花|/xiānhuā/|fresh flowers
咸|/xián/|salty
现金|/xiànjīn/|cash
羡慕|/xiànmù/|envious
线上|/xiànshàng/|on-line
线下|/xiànxià/|Offline
现有|/xiànyǒu/|existing
香|/xiāng/|fragrant
相比|/xiāngbǐ/|compared to
相反|/xiāngfǎn/|on the contrary
相互|/xiānghù/|mutual
相同|/xiāngtóng/|same
详细|/xiángxì/|detailed
响|/xiǎng/|ring
想法|/xiǎngfǎ/|idea
项|/xiàng/|item
消息|/xiāoxi/|information
小吃|/xiǎochī/|snack
小伙子|/xiǎohuǒzi/|young man
小说|/xiǎoshuō/|novel
小组|/xiǎozǔ/|group
效果|/xiàoguǒ/|Effect
笑话|/xiàohua/|joke
血|/xiě/|Blood
心|/xīn/|Heart
辛苦|/xīnkǔ/|Hard
心情|/xīnqíng/|Feeling
信号|/xìnhào/|Signal
信息|/xìnxī/|information
信心|/xìnxīn/|confidence
兴奋|/xīngfèn/|excited
星星|/xīngxing/|Star
醒|/xǐng/|Awake
性|/xìng/|sex
性别|/xìngbié/|gender
幸福|/xìngfú/|happiness
性格|/xìnggé/|character
兄弟|/xiōngdì/|brother
熊|/xióng/|Bear
修|/xiū/|build
修理|/xiūlǐ/|repair
许多|/xǔduō/|many
学费|/xuéfèi/|tuition fee
学院|/xuéyuàn/|College
压|/yā/|Pressure
压力|/yālì/|pressure
牙膏|/yágāo/|toothpaste
亚洲|/Yàzhōu/|Asia
烟|/yān/|cigarette
盐|/yán/|Salt
严格|/yángé/|strict
研究|/yánjiū/|Research
研究生|/yánjiūshēng/|postgraduate
严重|/yánzhòng/|serious
演|/yǎn/|play
演唱|/yǎnchàng/|Singing
演出|/yǎnchū/|show
眼镜|/yǎnjìng/|Glasses
眼前|/yǎnqián/|Before my eyes
演员|/yǎnyuán/|actor
阳光|/yángguāng/|Sunlight
养成|/yǎngchéng/|Develop
样子|/yàngzi/|appearance
邀请|/yāoqǐng/|invite
要是|/yàoshi/|if
钥匙|/yàoshi/|key
也许|/yěxǔ/|Maybe
夜|/yè/|night
夜晚|/yèwǎn/|night
叶子|/yèzi/|leaf
一切|/yíqiè/|everything
已|/yǐ/|already
以内|/yǐnèi/|within
意见|/yìjiàn/|Opinion
一生|/yìshēng/|lifetime
艺术|/yìshù/|Art
因此|/yīncǐ/|therefore
引起|/yǐnqǐ/|cause
印象|/yìnxiàng/|impression
赢|/yíng/|win
赢得|/yíngdé/|win
应聘|/yìngpìn/|Job application
勇敢|/yǒnggǎn/|brave
永远|/yǒngyuǎn/|forever
用来|/yònglái/|Used for
用于|/yòngyú/|For
优点|/yōudiǎn/|advantage
幽默|/yōumò/|humor
优秀|/yōuxiù/|excellent
由|/yóu/|Depend on
油|/yóu/|Oil
尤其|/yóuqí/|especially
游玩|/yóuwán/|play
由于|/yóuyú/|because
友好|/yǒuhǎo/|friendly
友情|/yǒuqíng/|Friendship
有趣|/yǒuqù/|interesting
有效|/yǒuxiào/|efficient
友谊|/yǒuyì/|friendship
有着|/yǒuzhe/|have
愉快|/yúkuài/|joy
于是|/yúshì/|then
与|/yǔ/|and
语法|/yǔfǎ/|grammar
预习|/yùxí/|Preview
原来|/yuánlái/|turn out to be
原谅|/yuánliàng/|forgive
原因|/yuányīn/|reason
远离|/yuǎnlí/|keep away
院长|/yuànzhǎng/|Dean
院子|/yuànzi/|courtyard
约|/yuē/|about
约会|/yuēhuì/|Dating
月饼|/yuèbǐng/|moon cake
阅读|/yuèdú/|read
月份|/yuèfèn/|month
云|/yún/|cloud
允许|/yǔnxǔ/|allow
杂志|/zázhì/|Magazine
再次|/zàicì/|again
再说|/zàishuō/|Furthermore
暂时|/zànshí/|temporary
暂停|/zàntíng/|pause
早餐|/zǎocān/|breakfast
早晨|/zǎochen/|morning
责任|/zérèn/|responsibility
增加|/zēngjiā/|Increase
增长|/zēngzhǎng/|increase
招聘|/zhāopìn/|recruitment
着|/zháo/|Wearing
着火|/zháohuǒ/|on fire
者|/zhě/|The
真正|/zhēnzhèng/|real
整|/zhěng/|all
整个|/zhěnggè/|entire
整理|/zhěnglǐ/|tidy
证|/zhèng/|certificate
正常|/zhèngcháng/|normal
正好|/zhènghǎo/|Just right
证件|/zhèngjiàn/|ID
证明|/zhèngmíng/|prove
正确|/zhèngquè/|correct
正式|/zhèngshì/|formal
之|/zhī/|Of
支持|/zhīchí/|support
支付|/zhīfù/|Payment
之后|/zhīhòu/|after
之间|/zhījiān/|between
之前|/zhīqián/|Before
知识|/zhīshi/|Knowledge
之中|/zhīzhōng/|Among
值|/zhí/|value
值得|/zhídé/|worth
直接|/zhíjiē/|direct
植物|/zhíwù/|plant
职业|/zhíyè/|Profession
指|/zhǐ/|refer to
指出|/zhǐchū/|Point out
