安心|/ān xīn/|Peace of mind
成熟|/chéngshú/|Mature
成员|/chéngyuán/|member
成长|/chéngzhǎng/|growing up
城|/chéng/|city
城市|/chéngshì/|City
程度|/chéngdù/|degree
持续|/chíxù/|continued
充满|/chōngmǎn/|full
重|/chóng/|Heavy
初|/chū/|early
初一|/chū yī/|First year of junior high school
初步|/chūbù/|Preliminary
初级|/chūjí/|primary
初中|/chūzhōng/|junior high school
除了|/chúle/|Apart from
处理|/chǔlǐ/|deal with
传|/chuán/|pass
传播|/chuánbō/|spread
传来|/chuánlái/|It came
传说|/chuánshuō/|legend
创新|/chuàngxīn/|Innovation
创业|/chuàngyè/|Entrepreneurship
创造|/chuàngzào/|create
创作|/chuàngzuò/|creation
从来|/cónglái/|Never
从前|/cóngqián/|Once upon a time
从事|/cóngshì/|Engaged in
村|/cūn/|village
存|/cún/|live
存在|/cúnzài/|exist
错误|/cuòwù/|mistake
达到|/dádào/|achieve
打破|/dǎpò/|break in
打听|/dǎtīng/|inquire about
大概|/dàgài/|perhaps
大使馆|/dàshǐguǎn/|embassy
大约|/dàyuē/|About
大夫|/dàifu/|doctor
代|/dài/|generation
代表|/dàibiǎo/|represent
代表团|/dàibiǎotuán/|delegation
带动|/dàidòng/|drive
带领|/dàilǐng/|lead
单元|/dānyuán/|unit
当初|/dāngchū/|At first
当地|/dāngdì/|local
当然|/dāngrán/|certainly
当中|/dāngzhōng/|among
刀|/dāo/|knife
导演|/dǎoyǎn/|director
到达|/dàodá/|arrive
到底|/dàodǐ/|in the end
得分|/défēn/|Score
等待|/děngdài/|wait
底下|/dǐxia/|under
地区|/dìqū/|area
电视剧|/diànshìjù/|TV drama
电视台|/diànshìtái/|TV station
电台|/diàntái/|Radio station
电子邮件|/diànzǐ yóujiàn/|e-mail
调|/diào/|Adjust
调查|/diàochá/|investigation
订|/dìng/|order
定期|/dìngqī/|regular
东部|/dōngbù/|east
动力|/dònglì/|power
动人|/dòngrén/|moving
读者|/dúzhě/|reader
短处|/duǎnchù/|Shortcomings
短裤|/duǎnkù/|shorts
短期|/duǎnqī/|short term
断|/duàn/|Broken
队员|/duìyuán/|Team members
对待|/duìdài/|treat
对方|/duìfāng/|other side
对手|/duìshǒu/|opponent
对象|/duìxiàng/|object
顿|/dùn/|Dun
发表|/fābiǎo/|Publish
发出|/fāchū/|issue
发达|/fādá/|developed
发动|/fādòng/|launch
发明|/fāmíng/|invention
发生|/fāshēng/|occur
发送|/fāsòng/|send
发言|/fāyán/|Speech
发展|/fāzhǎn/|develop
反对|/fǎnduì/|be opposed to
反复|/fǎnfù/|repeatedly
反应|/fǎnyìng/|reaction
反正|/fǎnzhèng/|Anyway
范围|/fànwéi/|scope
方式|/fāngshì/|Way
防|/fáng/|Defend
防止|/fángzhǐ/|prevent
房东|/fángdōng/|landlord
房屋|/fángwū/|houses
房租|/fángzū/|rent
访问|/fǎngwèn/|access
放到|/fàngdào/|Put into
飞行|/fēixíng/|flight
费|/fèi/|fee
费用|/fèiyòng/|cost
分别|/fēnbié/|respectively
分配|/fēnpèi/|distribute
分组|/fēnzǔ/|Grouping
丰富|/fēngfù/|Rich
风险|/fēngxiǎn/|risk
否定|/fǒudìng/|negative
否认|/fǒurèn/|deny
服装|/fúzhuāng/|clothing
福|/fú/|blessing
父母|/fùmǔ/|parents
父亲|/fùqīn/|Father
付|/fù/|pay
负责|/fùzé/|Responsible
复印|/fùyìn/|copy
复杂|/fùzá/|complex
富|/fù/|rich
改进|/gǎijìn/|improve
改造|/gǎizào/|Transformation
概念|/gàiniàn/|concept
赶|/gǎn/|rush
赶到|/gǎndào/|Arrive
赶紧|/gǎnjǐn/|Hurry
赶快|/gǎnkuài/|hurry up
敢|/gǎn/|dare
感冒|/gǎnmào/|cold
感情|/gǎnqíng/|emotion
感受|/gǎnshòu/|Feeling
干吗|/gànmá/|Why
高速|/gāosù/|high speed
高速公路|/gāosù gōnglù/|highway
告别|/gàobié/|bid farewell
歌迷|/gēmí/|fans
歌声|/gēshēng/|singing
歌手|/gēshǒu/|singer
个人|/gèrén/|personal
个性|/gèxìng/|personality
各|/gè/|each
各地|/gèdì/|various places
各位|/gèwèi/|Dear friends
各种|/gèzhǒng/|Various
各自|/gèzì/|respective
根本|/gēnběn/|fundamental
更加|/gèngjiā/|more
工厂|/gōngchǎng/|factory
工程师|/gōngchéngshī/|engineer
工夫|/gōngfu/|time
工具|/gōngjù/|tool
工业|/gōngyè/|industry
工资|/gōngzī/|salary
公布|/gōngbù/|Announcement
公众|/gōnggòng/|public
公开|/gōngkāi/|public
公民|/gōngmín/|citizen
公务员|/gōngwùyuán/|civil servants
功夫|/gōngfu/|effort
功课|/gōngkè/|homework
功能|/gōngnéng/|Function
共同|/gòngtóng/|common
共有|/gòngyǒu/|Total
姑娘|/gūniang/|girl
古|/gǔ/|antiquity
古代|/gǔdài/|Ancient
故乡|/gùxiāng/|home
挂|/guà/|hang
关系|/guānxi/|relation
关注|/guānzhù/|focus on
观察|/guānchá/|observe
观看|/guānkàn/|Watch
观念|/guānniàn/|Concept
观众|/guānzhòng/|audience
管|/guǎn/|Tube
管理|/guǎnlǐ/|manage
光|/guāng/|Light
光明|/guāngmíng/|bright
广播|/guǎngbō/|broadcast
广大|/guǎngdà/|vast
规定|/guīdìng/|Regulation
规范|/guīfàn/|specification
国内|/guónèi/|domestic
国庆|/guóqìng/|National Day
果然|/guǒrán/|really
果汁|/guǒzhī/|juice
过程|/guòchéng/|process
过去|/guòqù/|past
哈哈|/hāhā/|Ha ha
海关|/hǎiguān/|customs
害怕|/hàipà/|Fear
行|/háng/|OK
好好|/hǎohǎo/|well
好奇|/hàoqí/|curious
合|/hé/|combine
合法|/héfǎ/|legitimate
合格|/hégé/|qualified
合理|/hélǐ/|Reasonable
合作|/hézuò/|cooperate
和平|/hépíng/|Peace
红茶|/hóngchá/|black tea
红酒|/hóngjiǔ/|wine
后果|/hòuguǒ/|as a result of
后面|/hòumiàn/|later
后年|/hòunián/|The year after next
互联网|/hùliánwǎng/|internet
互相|/hùxiāng/|each other
划船|/huáchuán/|boating
华人|/huárén/|Chinese
化 (现代化）|/huà (xiàndàihuà)/|Modernization
话剧|/huàjù/|stage play
话题|/huàtí/|topic
欢乐|/huānlè/|joy
环|/huán/|ring
环保|/huánbǎo/|Environmental friendly
环境|/huánjìng/|environment
会议|/huìyì/|Meeting
会员|/huìyuán/|member
活|/huó/|live
火|/huǒ/|fire
机器|/jīqì/|machine
积极|/jījí/|positive
基本|/jīběn/|Basic
基本上|/jīběn shàng/|basically
基础|/jīchǔ/|Base
及时|/jíshí/|timely
…极了|/...jí le/|…Absolutely amazing
集体|/jítǐ/|collective
集中|/jízhōng/|concentrated
计算|/jìsuàn/|calculate
记录|/jìlù/|Record
记者|/jìzhě/|reporter
纪录|/jìlù/|Record
纪念|/jìniàn/|commemorate
技术|/jìshù/|technology
继续|/jìxù/|continue
加工|/jiā gōng/|Processing
加快|/jiākuài/|accelerate
加强|/jiāqiáng/|strengthen
家具|/jiājù/|furniture
家属|/jiāshǔ/|Family members
家乡|/jiāxiāng/|hometown
价格|/jiàgé/|price
价钱|/jiàqián/|Price
价值|/jiàzhí/|value
架|/jià/|shelf
坚持|/jiānchí/|persist in
坚决|/jiānjué/|Resolute
坚强|/jiānqiáng/|strong
简单|/jiǎndān/|Simple
简直|/jiǎnzhí/|simply
建|/jiàn/|establish
建成|/jiànchéng/|Completed
建立|/jiànlì/|Establish
建设|/jiànshè/|Construction
建议|/jiànyì/|suggestion
将近|/jiāngjìn/|nearly
将来|/jiānglái/|future
交费|/jiāofèi/|Pay
交警|/jiāojǐng/|traffic police
交流|/jiāoliú/|comminicate
交往|/jiāowǎng/|Interaction
交易|/jiāoyì/|trade
叫|/jiào/|Call
校|/jiào/|school
教材|/jiàocái/|textbooks
教练|/jiàoliàn/|coach
结实|/jiēshi/|solid
接待|/jiēdài/|reception
接近|/jiējìn/|near
节约|/jiéyuē/|save
结合|/jiéhé/|Combination
结婚|/jiéhūn/|marry
结束|/jiéshù/|Finish
解决|/jiějué/|solve
解开|/jiěkāi/|Untie
金|/jīn/|gold
金牌|/jīnpái/|gold medal
仅|/jǐn/|only
仅仅|/jǐnjǐn/|only
尽量|/jǐnliàng/|Try your best
紧|/jǐn/|tight
紧急|/jǐnjí/|urgent
紧张|/jǐnzhāng/|nervous
进步|/jìnbù/|progress
进一步|/jìnyíbù/|further
进展|/jìnzhǎn/|progress
近期|/jìnqī/|Recently
京剧|/jīngjù/|Peking Opera
经济|/jīngjì/|economy
经历|/jīnglì/|experience
经验|/jīngyàn/|experience
经营|/jīngyíng/|Business
精彩|/jīngcǎi/|Wonderful
精神|/jīngshén/|Spirit
精神|/jīngshen/|Spirit
景色|/jǐngsè/|view
警察|/jǐngchá/|police
静|/jìng/|quiet
久|/jiǔ/|Long
旧|/jiù/|old
救|/jiù/|save
就是|/jiùshì/|that is
就业|/jiùyè/|Employment
举办|/jǔbàn/|hold
具体|/jùtǐ/|specific
具有|/jùyǒu/|have
剧场|/jùchǎng/|theater
据说|/jùshuō/|It is said
决定|/juédìng/|Decide
决赛|/juésài/|finals
决心|/juéxīn/|determination
绝对|/juéduì/|absolute
咖啡|/kāfēi/|coffee
开发|/kāifā/|Development
开放|/kāifàng/|open
开始|/kāishǐ/|start
开业|/kāi//yè/|Opening
开展|/kāizhǎn/|Carry out
看起来|/kàn qǐ lái/|It looks
看上去|/kàn shàng qù/|It looks like
考验|/kǎoyàn/|test
科技|/kējì/|science and technology
可靠|/kěkào/|reliable
可乐|/kělè/|Cola
克服|/kèfú/|overcome
客观|/kèguān/|objective
课程|/kèchéng/|course
空|/kōng/|null
空调|/kōngtiáo/|air conditioner
恐怕|/kǒngpà/|I am afraid
空儿|/kòngr/|Kong'er
裤子|/kùzi/|Pants
快速|/kuàisù/|fast
困|/kùn/|Sleepy
困难|/kùnnán/|difficulty
浪费|/làngfèi/|waste
老百姓|/lǎobǎixìng/|ordinary people
老板|/lǎobǎn/|boss
老太太|/lǎotàitai/|old lady
老头儿|/lǎotóur/|old man
乐|/lè/|happy
乐观|/lèguān/|optimism
类|/lèi/|kind
类似|/lèisì/|similar
离婚|/líhūn/|divorce
里面|/lǐmiàn/|in
理发|/lǐfà/|Haircut
理解|/lǐjiě/|understand
理论|/lǐlùn/|theory
理由|/lǐyóu/|reason
力|/lì/|force
力量|/lìliàng/|strength
立刻|/lìkè/|immediately
利用|/lìyòng/|use
连|/lián/|even
连忙|/liánmáng/|Immediately
连续|/liánxù/|continuous
连续剧|/liánxùjù/|TV series
联合|/liánhé/|joint
联合国|/Liánhéguó/|United Nations
联系|/liánxì/|connect
凉水|/liángshuǐ/|cold water
了|/liǎo/|Already
领|/lǐng/|collar
领导|/lǐngdǎo/|lead
领先|/lǐngxiān/|Leading
另外|/lìngwài/|in addition
另一方面|/lìng yì fāngmiàn/|on the other hand
留学|/liúxué/|Study abroad
龙|/lóng/|dragon
录|/lù/|record
录音|/lùyīn/|recording
路线|/lùxiàn/|route
旅馆|/lǚguǎn/|hostel
旅行社|/lǚxíngshè/|travel agency
绿茶|/lǜchá/|green tea
乱|/luàn/|chaos
落后|/luòhòu/|behind
麻烦|/máfan/|trouble
马|/mǎ/|horse
满足|/mǎnzú/|satisfy
慢慢|/mànmàn/|Slowly
毛|/máo/|hair
毛病|/máobìng/|Problem
没用|/méiyòng/|Useless
媒体|/méitǐ/|media
每|/měi/|Every
美|/měi/|beautiful
美好|/měihǎo/|good
美丽|/měilì/|beauty
美食|/měishí/|gourmet food
美术|/měishù/|art
美元|/měiyuán/|Dollar
迷|/mí/|fan
米|/mǐ/|rice
面对|/miànduì/|face
面积|/miànjī/|area
民间|/mínjiān/|folk
民族|/mínzú/|nationality
明确|/míngquè/|clear
明显|/míngxiǎn/|obvious
命运|/mìngyùn/|destiny
某|/mǒu/|certain
母亲|/mǔqīn/|Mother
木头|/mùtou/|wood
目标|/mùbiāo/|Target
目前|/mùqián/|at present
奶茶|/nǎichá/|milk tea
男子|/nánzǐ/|man
南部|/nánbù/|South
难道|/nándào/|Could it be...?
难度|/nándù/|Difficulty
内|/nèi/|Inside
内容|/nèiróng/|content
内心|/nèixīn/|heart
能不能|/néng bùnéng/|Can you
能力|/nénglì/|ability
年初|/niánchū/|At the beginning of the year
年代|/niándài/|Era
年底|/niándǐ/|End of year
年纪|/niánjì/|age
念|/niàn/|read
牛|/niú/|ox
农村|/nóngcūn/|rural areas
农民|/nóngmín/|farmers
农业|/nóngyè/|agriculture
女子|/nǚzǐ/|woman
暖和|/nuǎnhuo/|warm
怕|/pà/|Afraid
拍|/pāi/|shoot
排|/pái/|Row
排名|/páimíng/|Ranking
牌子|/páizi/|brand
派|/pài/|group
判断|/pànduàn/|judge
胖|/pàng/|fat
跑步|/pǎobù/|running
配|/pèi/|match
配合|/pèihé/|Cooperate
批评|/pīpíng/|criticize
批准|/pīzhǔn/|approve
皮|/pí/|Skin
皮包|/píbāo/|leather bag
啤酒|/píjiǔ/|beer
票价|/piàojià/|fare
评价|/píngjià/|evaluate
苹果|/píngguǒ/|apple
破|/pò/|break
破坏|/pòhuài/|destroy
普遍|/pǔbiàn/|universal
普及|/pǔjí/|universal
期|/qī/|Expect
齐|/qí/|together
其次|/qícì/|Secondly
其实|/qíshí/|actually
奇怪|/qíguài/|strangeness
气候|/qìhòu/|climate
千万|/qiānwàn/|Tens of millions
前后|/qiánhòu/|front and back
前进|/qiánjìn/|go ahead
前面|/qiánmiàn/|Front
前往|/qiánwǎng/|Go to
强|/qiáng/|powerful
强大|/qiángdà/|powerful
强调|/qiángdiào/|emphasize
强烈|/qiángliè/|strong
桥|/qiáo/|bridge
巧|/qiǎo/|skillful
亲|/qīn/|relative
亲切|/qīnqiè/|kind
亲人|/qīnrén/|relatives
亲自|/qīnzì/|personally
情感|/qínggǎn/|emotion
情况|/qíngkuàng/|Condition
请教|/qǐngjiào/|consult
庆祝|/qìngzhù/|celebrate
球迷|/qiúmí/|fan
区|/qū/|district
区别|/qūbié/|the difference
取消|/qǔxiāo/|Cancel
去世|/qùshì/|Passed away
全场|/quánchǎng/|The whole audience
全面|/quánmiàn/|comprehensive
全球|/quánqiú/|worldwide
缺|/quē/|lack
缺点|/quēdiǎn/|shortcoming
缺少|/quēshǎo/|Lack
确保|/quèbǎo/|make sure
确定|/quèdìng/|Sure
确实|/quèshí/|really
裙子|/qúnzi/|skirt
群|/qún/|group
热爱|/rè’ài/|Passion
热烈|/rèliè/|warm
人才|/réncái/|Talent
人工|/réngōng/|artificial
人类|/rénlèi/|Humans
人民|/rénmín/|people
人民币|/Rénmínbì/|Renminbi
人群|/rénqún/|crowd
人生|/rénshēng/|Life
人员|/rényuán/|personnel
认出|/rènchū/|make out
认得|/rèndé/|Recognize
认可|/rènkě/|Approval
任|/rèn/|appoint
任何|/rènhé/|any
任务|/rènwù/|Task
仍|/réng/|still
仍然|/réngrán/|still
日常|/rìcháng/|daily
容易|/róngyì/|easy
如何|/rúhé/|how
散步|/sànbù/|walk
沙发|/shāfā/|sofa
沙子|/shāzi/|sand
伤|/shāng/|hurt
伤心|/shāngxīn/|sad
商品|/shāngpǐn/|commodity
商业|/shāngyè/|Business
上来|/shànglái/|Come up
上面|/shàngmiàn/|above
上去|/shàngqù/|Go up
上升|/shàngshēng/|rise
上衣|/shàngyī/|Jacket
设备|/shèbèi/|equipment
设计|/shèjì/|design
设立|/shèlì/|set up
社会|/shèhuì/|society
身份证|/shēnfènzhèng/|ID card
深|/shēn/|deep
深刻|/shēnkè/|profound
深入|/shēnrù/|In-depth
升|/shēng/|Lift
生|/shēng/|born
生产|/shēngchǎn/|Production
生存|/shēngcún/|Survive
生动|/shēngdòng/|vivid
生命|/shēngmìng/|life
生意|/shēngyi/|Business
生长|/shēngzhǎng/|growth
声明|/shēngmíng/|statement
胜|/shèng/|Victory
胜利|/shènglì/|victory
失去|/shīqù/|lose
石头|/shítou/|Stone
石油|/shíyóu/|oil
时|/shí/|hour
时代|/shídài/|era
时刻|/shíkè/|time
实际上|/shíjìshang/|In fact
实力|/shílì/|strength
实行|/shíxíng/|Implementation
实验|/shíyàn/|experiment
实验室|/shíyànshì/|laboratory
食品|/shípǐn/|food
使|/shǐ/|make
始终|/shǐzhōng/|Always
世纪|/shìjì/|century
世界|/shìjiè/|world
世界杯|/shìjièbēi/|World Cup
市场|/shìchǎng/|market
事故|/shìgù/|ACCIDENT
事件|/shìjiàn/|event
事实|/shìshí/|fact
事实上|/shìshíshang/|In fact
事业|/shìyè/|cause
试题|/shìtí/|Test Questions
试验|/shìyàn/|test
适合|/shìhé/|Suitable
适应|/shìyìng/|adapt
适用|/shìyòng/|Applicable
室|/shì/|room
收费|/shōufèi/|TOLL
收看|/shōukàn/|Watch
收听|/shōutīng/|Listen
收音机|/shōuyīnjī/|radio
手续|/shǒuxù/|formalities
手指|/shǒuzhǐ/|finger
首都|/shǒudū/|capital
首先|/shǒuxiān/|first
受|/shòu/|by
受伤|/shòushāng/|Injuried
书架|/shūjià/|bookshelf
输|/shū/|lose
输入|/shūrù/|enter
熟人|/shúrén/|acquaintance
属|/shǔ/|genus
属于|/shǔyú/|belong
束|/shù/|bundle
数量|/shùliàng/|quantity
双|/shuāng/|pair
双方|/shuāngfāng/|both sides
思想|/sīxiǎng/|Thought
死|/sǐ/|die
速度|/sùdù/|speed
随|/suí/|Follow
所|/suǒ/|Place
所长|/suǒzhǎng/|Director
所长|/suǒcháng/|Director
台|/tái/|tower
谈|/tán/|talk
谈话|/tánhuà/|conversation
谈判|/tánpàn/|negotiation
汤|/tāng/|Soup
糖|/táng/|sugar
特色|/tèsè/|feature
提前|/tíqián/|in advance
提问|/tíwèn/|Question
题目|/tímù/|topic
体会|/tǐhuì/|Experience
体现|/tǐxiàn/|reflect
体验|/tǐyàn/|Experience
天空|/tiānkōng/|Sky
甜|/tián/|sweet
调|/tiáo/|Adjust
调整|/tiáozhěng/|Adjustment
跳|/tiào/|Jump
调高|/tiáogāo/|Increase
跳舞|/tiàowǔ/|Dance
跳远|/tiàoyuǎn/|long jump
铁|/tiě/|iron
铁路|/tiělù/|railway
听力|/tīnglì/|hearing
听众|/tīngzhòng/|audience
停止|/tíngzhǐ/|stop
通常|/tōngcháng/|generally
通信|/tōngxìn/|communication
同意|/tóngyì/|agree
痛|/tòng/|pain
痛苦|/tòngkǔ/|pain
头|/tóu/|head
头脑|/tóunǎo/|mind
突出|/tūchū/|protrude
突然|/tūrán/|Sudden
图|/tú/|picture
图画|/túhuà/|picture
土|/tǔ/|earth
团|/tuán/|group
团结|/tuánjié/|Unity
团体|/tuántǐ/|group
推动|/tuīdòng/|promote
推广|/tuīguǎng/|Promotion
推进|/tuījìn/|Advance
推开|/tuīkāi/|Push away
退|/tuì/|retreat
退出|/tuìchū/|quit
退休|/tuìxiū/|retire
外交|/wàijiāo/|diplomatic
外面|/wàimiàn/|Outside
外文|/wàiwén/|foreign language
完美|/wánměi/|Perfect
完善|/wánshàn/|Complete
完整|/wánzhěng/|whole
玩具|/wánjù/|Toy
往往|/wăngwăng/|often
危害|/wēihài/|harm
危险|/wēixiǎn/|Danger
为|/wéi/|for
围|/wéi/|Encirclement
伟大|/wěidà/|great
卫生|/wèishēng/|health
卫生间|/wèishēngjiān/|bathroom
为了|/wèile/|for
温暖|/wēnnuǎn/|warmth
文化|/wénhuà/|culture
文件|/wénjiàn/|document
文明|/wénmíng/|civilization
文学|/wénxué/|literature
文章|/wénzhāng/|article
文字|/wénzì/|Word
握手|/wòshou/|shake hands
屋子|/wūzi/|room
武器|/wŭqì/|arms
武术|/wŭshù/|martial arts
舞台|/wŭtái/|stage
西部|/xībù/|west
希望|/xīwàng/|hope
系|/xì/|Tie
下来|/xiàlái/|Come down
下面|/xiàmiàn/|under
下去|/xiàqù/|Go down
先进|/xiānjìn/|advanced
显得|/xiǎnde/|It appears
显然|/xiǎnrán/|Obviously
显示|/xiǎnshì/|show
现场|/xiànchăng/|on site
现代|/xiàndài/|modern
现金|/xiànjīn/|cash
现实|/xiànshí/|Reality
现象|/xiànxiàng/|Phenomenon
线|/xiàn/|Wire
相比|/xiāngbǐ/|compared to
相当|/xiāngdāng/|quite
相关|/xiāngguān/|Related
相互|/xiānghù/|mutual
相似|/xiāngsì/|resemblance
香|/xiāng/|fragrant
香蕉|/xiāngjiāo/|banana
消费|/xiāofèi/|Consumption
消失|/xiāoshī/|disappear
消息|/xiāoxi/|information
效果|/xiàoguǒ/|Effect
写作|/xiězuò/|writing
血|/xiě/|Blood
心|/xīn/|Heart
信|/xìn/|letter
信封|/xìnfēng/|envelope
信任|/xìnrèn/|trust
行李|/xíngli/|luggage
形成|/xíngchéng/|form
形式|/xíngshì/|form
形象|/xíngxiàng/|Image
形状|/xíngzhuàng/|shape
幸福|/xìngfú/|happiness
幸运|/xìngyùn/|Lucky
性(积极性）|/xìng (jījíxìng)/|Sexual (Activeness)
性别|/xìngbié/|gender
性格|/xìnggé/|character
修|/xiū/|build
修改|/xiūgǎi/|Revise
需求|/xūqiú/|need
需要|/xūyào/|need
宣布|/xuānbù/|Announce
宣传|/xuānchuán/|publicity
选手|/xuǎnshǒu/|contestants
学费|/xuéfèi/|tuition fee
训练|/xùnliàn/|train
压|/yā/|Pressure
压力|/yālì/|pressure
烟|/yān/|cigarette
眼前|/yǎnqián/|Before my eyes
演|/yǎn/|play
演唱|/yǎnchàng/|Singing
演唱会|/yǎnchànghuì/|concert
演出|/yǎnchū/|show
演员|/yǎnyuán/|actor
羊|/yáng/|sheep
阳光|/yángguāng/|Sunlight
要是|/yàoshì/|if
衣架|/yījià/|Coat hanger
一切|/yīqiè/|everything
已|/yǐ/|already
以来|/yǐlái/|since
一方面|/yīfāngmiàn/|on the one hand
艺术|/yìshù/|Art
意外|/yìwài/|Accident
意义|/yìyì/|significance
因此|/yīncǐ/|therefore
银|/yín/|silver
银牌|yínpái|silver medal
印象|/yìnxiàng/|impression
应当|/yīngdāng/|should
迎接|/yíngjiē/|meet
营养|/yíngyǎng/|Nutrition
贏|/yíng/|Win
影视|/yǐngshì/|Film and television
应用|/yìngyòng/|application
优点|/yōudiǎn/|advantage
优势|/yōushì/|Advantages
由|/yóu/|Depend on
由于|/yóuyú/|because
邮件|/yóujiàn/|mail
邮票|/yóupiào/|stamp
邮箱|/yóuxiāng/|Mail
游|/yóu/|tour
游戏|/yóuxì/|game
游泳|/yóuyǒng/|swim
有的是|/yǒu de shì/|Some are
有利|/yǒulì/|favorable
有效|/yǒuxiào/|efficient
预报|/yùbào/|forecast
预防|/yùfáng/|prevention
预计|/yùjì/|Expected
预习|/yùxí/|Preview
员(服务员)|/yuán (fúwùyuán)/|Waiter/waitress
员工|/yuángōng/|staff
愿望|/yuànwàng/|desire
约|/yuē/|about
乐队|/yuèduì/|band
运输|/yùnshū/|transportation
杂志|/zázhì/|Magazine
早已|/zǎoyǐ/|long ago
造|/zào/|make
造成|/zàochéng/|cause
责任|/zérèn/|responsibility
增加|/zēngjiā/|Increase
增长|/zēngzhǎng/|increase
展开|/zhǎnkāi/|Expand
张|/zhāng/|open
照|/zhào/|According to
者(志愿者)|/zhě (zhìyuànzhě)/|Volunteers
真实|/zhēnshí/|reality
争|/zhēng/|Struggle
争取|/zhēngqǔ/|Strive
整|/zhěng/|all
整个|/zhěnggè/|entire
整理|/zhěnglǐ/|tidy
整齐|/zhěngqí/|tidy
整体|/zhěngtǐ/|overall
整天|/zhěngtiān/|All day
整整|/zhěngzhěng/|full
正(形)|/zhèng/|Right (form)
正式|/zhèngshì/|formal
证|/zhèng/|certificate
证件|/zhèngjiàn/|ID
证据|zhèngjù/|evidence
证明|/zhèngmíng/|prove
支(量)|/zhī/|Support (Quantity)
支持|/zhīchí/|support
支付|/zhīfù/|Payment
只|/zhǐ/|Only
直|/zhí/|straight
直播|/zhíbō/|live streaming
直到|/zhídào/|until
值|/zhí/|value
值得|/zhídé/|worth
职工|/zhígōng/|staff
职业|/zhíyè/|Profession
只好|/zhǐhǎo/|I had no choice
只是|/zhǐshì/|only
只有|/zhǐyǒu/|only
指|/zhǐ/|refer to
指出|/zhǐchū/|Point out
指导|/zhǐdǎo/|guide
至今|/zhìjīn/|to date
至少|/zhìshǎo/|At least
志愿|/zhìyuàn/|volunteer
志愿者|/zhìyuànzhě/|volunteer
制定|/zhìdìng/|Formulate
制度|/zhìdù/|system
制造|/zhìzào/|manufacture
制作|/zhìzuò/|Production
中部|/zhōngbù/|Central
中华民族|/zhōnghuá mínzú/|Chinese nation
终于|/zhōngyú/|finally
钟|/zhōng/|bell
种|/zhǒng/|kind
种子|/zhǒngzi/|seed
重大|/zhòngdà/|major
周围|/zhōuwéi/|around
猪|/zhū/|pig
主持|/zhǔchí/|Host
主动|/zhǔdòng/|initiative
主任|/zhǔrèn/|director
主意|/zhǔyi/|idea
主张|/zhǔzhāng/|advocacy
注意|/zhùyì/|Notice
祝|/zhù/|wish
抓|/zhuā/|Grasp
抓住|/zhuāzhù/|catch
专家|/zhuānjiā/|expert
专门|/zhuānmén/|specialized
专题|/zhuāntí/|Special Topic
专业|/zhuānyè/|major
转|/zhuǎn/|change
